"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","dataValidation","IndicatorName","diffY"
"BGD2019+ProfessionalHelp","ProfessionalHelp","BGD2019","0.589752345396147","0.589752345396147","0.589752345396147","MICS",1,"BGD2019","Bangladesh","2019","wm","ProfessionalHelp","0.589597232124061",1,"ProfessionalHelp",0.000155113272085949
"BGD2019+ReasonBeating","ReasonBeating","BGD2019","0.253702041971915","0.253702041971915","0.253702041971915","MICS",1,"BGD2019","Bangladesh","2019","wm","ReasonBeating","0.253702041971915",1,"ReasonBeating",0
"BGD2019+SafeSanitation","SafeSanitation","BGD2019","0.607282729995193","0.607282729995193","0.607282729995193","MICS",1,"BGD2019","Bangladesh","2019","hh","SafeSanitation","0.607282729995193",1,"SafeSanitation",0
"BGD2019+SafeSanitationHL","SafeSanitationHL","BGD2019","0.643044569489023","0.643044569489023","0.643044569489023","MICS",1,"BGD2019","Bangladesh","2019","hl","SafeSanitationHL","0.643044569489023",1,"SafeSanitationHL",0
"BGD2019+SecondaryEducation2035","SecondaryEducation2035","BGD2019","0.271423363902594","0.271423363902594","0.271423363902594","MICS",1,"BGD2019","Bangladesh","2019","hl","SecondaryEducation2035","0.244905530386946",1,"SecondaryEducation2035",0.026517833515648
"BGD2019+SecondaryEducation35plus","SecondaryEducation35plus","BGD2019","0.162667907429445","0.162667907429445","0.162667907429445","MICS",1,"BGD2019","Bangladesh","2019","hl","SecondaryEducation35plus","0.0903940615734831",1,"SecondaryEducation35plus",0.0722738458559619
"BGD2019+Stunting","Stunting","BGD2019","0.282210460266367","0.282210460266367","0.282210460266367","MICS",1,"BGD2019","Bangladesh","2019","ch","Stunting","0.282210460266367",1,"Stunting",0
"BGD2019+Wasting","Wasting","BGD2019","0.100212500402984","0.100212500402984","0.100212500402984","MICS",1,"BGD2019","Bangladesh","2019","ch","Wasting","0.100212500402984",1,"Wasting",0
"BGD2019+WaterOnstieHL","WaterOnstieHL","BGD2019","0.824438780128063","0.824438780128063","0.824438780128063","MICS",1,"BGD2019","Bangladesh","2019","hl","WaterOnstieHL","0.824438780128063",1,"WaterOnstieHL",0
"BGD61+AccessElectricity","AccessElectricity","BGD61","0.595778254933421","0.595778254933421","0.595778254933421","DHS",1,"BGD61","BD","61","HR","AccessElectricity","0.595778254933421",1,"AccessElectricity",0
"BGD61+BasicWater","BasicWater","BGD61","0.950358241682464","0.950358241682464","0.950358241682464","DHS",1,"BGD61","BD","61","HR","BasicWater","0.950358241682464",1,"BasicWater",0
"BGD61+CleanFuel","CleanFuel","BGD61","0.132621517749229","0.132621517749229","0.132621517749229","DHS",1,"BGD61","BD","61","HR","CleanFuel","0.132621517749229",1,"CleanFuel",0
"BGD61+ContraceptiveMethod","ContraceptiveMethod","BGD61","0.696932965691122","0.696932965691122","0.696932965691122","DHS",1,"BGD61","BD","61","IR","ContraceptiveMethod","0.696932965691122",1,"ContraceptiveMethod",0
"BGD61+HigherEducation2535","HigherEducation2535","BGD61","0.135109687712965","0.135109687712965","0.135109687712965","DHS",1,"BGD61","BD","61","PR","HigherEducation2535","0.135109687712965",1,"HigherEducation2535",0
"BGD61+HigherEducation35plus","HigherEducation35plus","BGD61","0.084321176192066","0.084321176192066","0.084321176192066","DHS",1,"BGD61","BD","61","PR","HigherEducation35plus","0.0824221216002597",1,"HigherEducation35plus",0.0018990545918063
"BGD61+NotOverweight","NotOverweight","BGD61","0.984278305205491","0.984278305205491","0.984278305205491","DHS",1,"BGD61","BD","61","PR","NotOverweight","0.984278305205491",1,"NotOverweight",0
"BGD61+NotStunting","NotStunting","BGD61","0.586015941270998","0.586015941270998","0.586015941270998","DHS",1,"BGD61","BD","61","PR","NotStunting","0.586015941270998",1,"NotStunting",0
"BGD61+NotWasting","NotWasting","BGD61","0.841444948018402","0.841444948018402","0.841444948018402","DHS",1,"BGD61","BD","61","PR","NotWasting","0.841444948018402",1,"NotWasting",0
